codigo,nome,fechamento,valor,mensal,anual,tipo,periodo,dataBase,dataPagamento
IDFI11,FII UNIDADES,N/A,"3,58",N/A,N/A,Amortização,jun./22,30/06/2022,07/07/2022
KINP11,FII EV KINEA,N/A,"0,37",N/A,N/A,Amortização,jun./22,30/06/2022,14/07/2022
KEVE11,FII EVEN II,N/A,"12,93",N/A,N/A,Amortização,jun./22,30/06/2022,14/07/2022
RDPD11,FII BB PAPII,N/A,"0,69",N/A,N/A,Amortização,jun./22,30/06/2022,15/07/2022
PLRI11,FII POLO I,N/A,"0,24",N/A,N/A,Amortização,jun./22,30/06/2022,07/07/2022
KNRE11,FII KII REAL,N/A,"0,05",N/A,N/A,Amortização,jun./22,30/06/2022,14/07/2022
ERCR11,FII ESTOQ RJ,N/A,"303,5",N/A,N/A,Amortização,jun./22,17/06/2022,24/06/2022
GCFF11,FII GALAPAGO,N/A,"0,5",N/A,N/A,Amortização,mai./22,13/06/2022,21/06/2022
RDPD11,FII BB PAPII,N/A,"0,61",N/A,N/A,Amortização,mai./22,09/06/2022,17/06/2022
RNDP11,FII BB R PAP,N/A,"81,54",N/A,N/A,Amortização,mai./22,09/06/2022,17/06/2022
LFTT11,FII LOFT II,N/A,"19,55",N/A,N/A,Amortização,jun./22,08/06/2022,22/06/2022
PLRI11,FII POLO I,N/A,"0,25",N/A,N/A,Amortização,mai./22,31/05/2022,07/06/2022
IDFI11,FII UNIDADES,N/A,"3,26",N/A,N/A,Amortização,mai./22,31/05/2022,07/06/2022
ERCR11,FII ESTOQ RJ,N/A,"314,22",N/A,N/A,Amortização,mai./22,17/05/2022,24/05/2022
GCFF11,FII GALAPAGO,N/A,"0,5",N/A,N/A,Amortização,abr./22,12/05/2022,19/05/2022
PRTS11,FII MULTPROP,N/A,"0,05",N/A,N/A,Amortização,mai./22,11/05/2022,18/05/2022
KINP11,FII EV KINEA,N/A,"0,13",N/A,N/A,Amortização,abr./22,29/04/2022,13/05/2022
PLRI11,FII POLO I,N/A,"0,72",N/A,N/A,Amortização,abr./22,29/04/2022,06/05/2022
KEVE11,FII EVEN II,N/A,"16,86",N/A,N/A,Amortização,abr./22,29/04/2022,13/05/2022
IDFI11,FII UNIDADES,N/A,"6,14",N/A,N/A,Amortização,abr./22,29/04/2022,06/05/2022
ERCR11,FII ESTOQ RJ,N/A,"8,04",N/A,N/A,Amortização,abr./22,18/04/2022,26/04/2022
GCFF11,FII GALAPAGO,N/A,"0,5",N/A,N/A,Amortização,mar./22,13/04/2022,22/04/2022
IDFI11,FII UNIDADES,N/A,"4,39",N/A,N/A,Amortização,mar./22,31/03/2022,07/04/2022
KINP11,FII EV KINEA,N/A,"0,03",N/A,N/A,Amortização,mar./22,31/03/2022,14/04/2022
PLRI11,FII POLO I,N/A,"0,64",N/A,N/A,Amortização,mar./22,31/03/2022,07/04/2022
RNDP11,FII BB R PAP,N/A,200,N/A,N/A,Amortização,mar./22,23/03/2022,07/04/2022
SHOP11,FII MULTSHOP,N/A,"6,75",N/A,N/A,Amortização,fev./22,23/03/2022,30/03/2022
ERCR11,FII ESTOQ RJ,N/A,"1,64",N/A,N/A,Amortização,mar./22,17/03/2022,24/03/2022
GCFF11,FII GALAPAGO,N/A,"0,5",N/A,N/A,Amortização,fev./22,14/03/2022,21/03/2022
